"","ID","Gender","Certificate","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","sum"
"42","4294F","Female","IGCSE (British)",5,4,5,5,5,2,2,2,1,1,2,1,3,1,5,4,5,4,5,146
"43","4287","Female","IGCSE (British)",5,5,5,5,5,3,3,2,1,1,2,2,2,1,2,2,5,5,5,147
"44","4275","Male","IGCSE (British)",4,5,5,5,4,2,1,1,3,3,5,2,5,4,5,5,5,5,4,161
"45","4273","Male","IGCSE (British)",4,5,5,4,5,4,3,4,1,1,3,1,4,4,5,5,5,5,5,163
"46","4289","Female","IGCSE (British)",4,5,4,3,5,5,5,3,5,3,4,5,4,4,3,3,4,3,4,168
"47","4291F","Female","IGCSE (British)",4,5,5,5,5,5,4,2,2,2,5,1,5,4,4,3,5,5,4,169
"48","4277","Male","IGCSE (British)",3,NA,3,5,5,2,2,1,1,2,3,3,1,1,4,4,4,4,4,148
"49","4286","Female","IGCSE (British)",3,3,3,5,5,1,1,1,1,1,1,1,1,1,3,3,3,3,3,141
"50","4285","Female","IGCSE (British)",5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,5,4,5,174
"51","4270","Male","IGCSE (British)",5,5,3,5,4,5,4,3,5,5,5,5,5,3,4,3,5,4,5,185
"52","4293F","Female","IGCSE (British)",3,5,5,5,5,5,3,1,1,2,3,3,5,5,5,3,3,5,5,176
"53","4243","Female","IGCSE (British)",3,5,3,5,5,3,1,1,3,1,5,1,5,3,3,3,3,5,5,169
"54","4271","Male","IGCSE (British)",5,5,5,5,3,2,2,5,1,1,4,1,3,4,4,4,5,5,5,177
"55","4264","Male","IGCSE (British)",4,5,5,5,5,2,2,2,2,2,3,1,4,4,3,2,4,4,5,174
"56","4268","Female","IGCSE (British)",3,3,5,3,3,1,5,1,1,1,5,3,3,5,3,1,3,5,5,171
"57","4258","Male","IGCSE (British)",5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,202
"58","4249","Female","IGCSE (British)",5,5,4,5,5,3,3,4,3,3,5,1,3,3,5,4,4,5,5,191
"59","4240","Male","IGCSE (British)",3,1,1,3,1,5,3,3,3,3,5,1,5,5,3,3,3,1,3,173
"60","4260","Male","IGCSE (British)",5,5,4,4,4,2,2,2,1,1,3,1,4,3,4,3,5,5,5,183
"61","4269","Female","IGCSE (British)",4,4,3,5,4,4,4,3,3,3,5,5,5,5,4,3,4,4,5,199
"62","4248","Female","IGCSE (British)",5,5,4,5,5,4,2,3,1,1,3,2,3,2,5,4,5,5,4,192
"63","4290","Male","American Diploma",3,4,4,5,4,2,1,1,2,2,3,3,3,3,4,5,5,5,5,190
"64","4283","Male","American Diploma",3,2,2,5,3,2,3,1,1,2,3,4,1,1,2,3,4,5,4,179
"65","4288","Male","American Diploma",4,4,5,5,4,2,1,1,2,1,5,3,3,2,4,5,4,5,5,195
"66","4321","Female","IGCSE (British)",3,3,5,5,3,1,1,1,1,1,3,1,3,1,3,3,5,5,3,183
"67","4300","Female","IGCSE (British)",3,5,5,5,4,1,1,3,3,2,1,1,2,2,4,3,5,5,5,194
"68","4304","Male","IGCSE (British)",5,5,4,4,5,4,2,4,3,4,5,5,4,3,5,3,4,3,3,211
"69","4303","Female","IGCSE (British)",5,3,5,3,3,3,2,2,3,3,5,4,5,5,3,3,5,4,5,209
"70","4312","Male","National",3,3,3,4,4,4,4,2,5,3,2,3,3,2,2,1,4,3,3,198
"71","4322","Female","IGCSE (British)",4,3,5,4,5,4,2,1,1,2,5,4,4,3,3,4,3,4,3,206
"72","4313","Female","IGCSE (British)",3,2,4,5,2,1,2,2,2,2,3,1,2,3,4,3,3,4,2,194
"73","4315","Male","IGCSE (British)",5,5,5,5,5,3,5,1,1,1,5,1,2,3,5,5,5,5,5,218
"74","4319","Female","IGCSE (British)",4,5,5,4,5,5,3,4,5,4,5,2,5,5,4,3,4,4,4,228
"75","4318","Female","IGCSE (British)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
"76","4296","Female","IGCSE (British)",3,3,1,5,3,3,5,3,5,3,5,1,5,1,3,3,3,5,3,215
"77","4308","Female","IGCSE (British)",5,5,4,5,5,3,3,2,3,5,5,5,5,3,3,3,3,4,3,228
"78","4036","Male","IGCSE (British)",3,3,3,4,2,1,3,2,3,3,2,2,3,2,3,4,2,4,3,208
"79","4307","Female","IGCSE (British)",5,5,4,4,5,3,3,3,3,3,3,1,3,2,4,4,5,5,5,228
"80","4301","Female","IGCSE (British)",5,5,3,5,5,5,4,3,2,2,5,1,5,5,5,5,5,5,5,240
"81","4294","Male","IGCSE (British)",3,5,2,4,3,5,5,1,5,5,5,5,5,5,3,2,3,3,5,236
"82","4299","Male","IGCSE (British)",4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5,246
"83","4309","Male","IGCSE (British)",5,5,5,5,5,1,3,5,1,1,5,1,1,4,5,5,5,5,5,238
"84","4302","Female","IGCSE (British)",4,5,4,5,4,4,4,5,2,2,3,3,5,4,5,4,5,2,2,240
"85","4278","Male","American Diploma",3,3,2,4,2,1,1,2,1,1,2,1,3,1,4,2,4,4,3,214
"86","4291","Male","American Diploma",3,4,4,3,3,4,2,1,1,3,5,1,1,3,4,2,5,5,5,231
"87","4282K","Male","American Diploma",4,5,3,3,4,5,3,4,3,5,5,5,5,3,3,2,3,4,5,248
"88","4293","Male","American Diploma",4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5,257
"89","4443","Male","IGCSE (British)",3,3,3,5,5,4,4,3,3,3,5,2,5,5,3,3,5,5,5,252
"90","4327","Male","IGCSE (British)",3,5,5,5,5,3,2,3,4,4,5,3,4,3,4,4,5,5,5,257
"91","4330","Male","IGCSE (British)",3,3,5,5,5,1,3,3,5,1,3,2,4,5,3,4,5,4,5,251
"92","4337","Male","IGCSE (British)",5,5,5,5,5,1,2,3,4,4,5,1,3,4,5,5,5,5,5,261
"93","4343","Female","IGCSE (British)",4,5,4,5,5,1,1,1,1,1,3,2,4,2,5,5,5,5,5,250
"94","4328","Male","IGCSE (British)",3,3,3,5,3,1,1,1,2,1,2,1,1,1,4,4,5,5,5,239
"95","4324","Male","IGCSE (British)",5,5,5,5,5,5,5,3,2,2,2,3,4,5,4,4,5,5,5,269
"96","4348","Female","IGCSE (British)",5,5,5,5,5,5,3,1,3,3,4,3,2,3,4,4,5,5,5,267
"97","4338","Female","IGCSE (British)",4,5,4,5,4,3,4,3,4,4,5,3,5,4,5,4,4,5,4,273
"98","4332","Male","IGCSE (British)",4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4,243
"99","4346","Female","IGCSE (British)",3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,264
"100","4347","Female","IGCSE (British)",4,4,4,5,5,4,4,5,5,4,3,3,3,2,4,4,5,5,5,278
"101","4339","Female","IGCSE (British)",3,5,3,5,4,3,4,2,2,1,3,2,3,3,4,4,5,4,5,267
"102","4353","Male","IGCSE (British)",3,5,3,4,5,5,5,3,4,5,5,3,5,4,3,2,4,3,3,278
"103","4367","Female","IGCSE (British)",5,5,5,5,5,5,3,1,1,1,1,1,1,3,5,5,5,5,5,273
"104","4365","Female","IGCSE (British)",3,5,3,5,3,1,1,1,2,1,3,1,4,1,4,2,5,5,5,263
