,X,ID,Gender,Certificate,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
250,250,4574,Male,IGCSE (British),5,4,4,5,4,3,3,3,4,3,2,2,5,3,4,4,4,4,4
251,251,4560,Male,IGCSE (British),5,5,5,5,5,4,4,1,3,1,4,1,1,1,3,4,3,5,4
252,252,4527,Male,IGCSE (British),3,3,3,4,5,1,1,1,1,1,1,1,2,1,1,2,2,3,4
253,253,4548,Male,IGCSE (British),5,5,3,5,3,3,3,1,1,1,5,3,3,3,3,2,3,3,3
254,254,4559,Male,IGCSE (British),4,3,5,5,4,1,1,1,1,1,3,1,4,1,5,4,5,5,5
255,255,4531,Male,IGCSE (British),4,4,5,5,5,2,2,2,2,2,3,3,5,3,5,5,5,5,5
256,256,4545,Male,IGCSE (British),4,5,5,5,5,4,3,2,2,2,3,3,3,1,5,5,5,5,5
257,257,4533,Male,IGCSE (British),5,5,5,4,5,2,1,1,1,1,1,1,1,1,4,4,5,4,4
258,258,4480,Female,IGCSE (British),3,3,3,5,5,4,5,5,5,5,5,4,4,2,4,4,5,5,5
259,259,4358,Male,American Diploma,5,5,5,5,5,3,1,1,1,1,5,3,5,1,5,5,5,5,5
260,260,4381,Male,American Diploma,3,5,5,5,5,3,1,1,1,3,5,5,5,5,3,4,5,4,5
261,261,4374,Male,National,4,3,2,5,5,3,2,1,1,1,5,4,5,5,2,2,3,4,2
262,262,4317,Male,Other?,4,4,3,4,5,3,4,5,3,4,4,3,5,4,4,3,4,5,5
263,263,4314,Male,Other?,3,5,5,5,5,3,5,2,1,2,3,1,3,1,5,5,3,5,3
264,264,4305,Female,National,3,2,4,3,2,3,3,2,4,3,5,4,4,3,2,2,3,3,3
265,265,4326F,Female,National,5,5,5,5,5,3,3,5,3,2,5,4,5,5,3,3,4,5,5
266,266,4281,Male,National,4,4,3,5,3,3,3,4,5,5,5,4,4,4,3,3,4,4,4
267,267,4316,Female,American Diploma,5,4,3,5,2,1,1,2,1,3,1,1,3,3,3,1,3,3,4
268,268,4372,Male,National,4,5,4,5,4,3,3,2,3,4,3,3,4,4,4,4,5,5,5
269,269,4292R,Male,IGCSE (British),4,4,5,5,5,2,1,3,2,1,3,2,3,2,3,3,4,4,3
270,270,4329,Female,National,4,2,3,4,5,3,1,3,1,1,2,2,4,1,2,1,3,4,3
271,271,4375,Female,National,1,1,1,1,1,1,1,1,2,3,5,3,3,1,4,1,1,3,1
272,272,4310,Female,National,3,2,1,2,2,4,1,1,2,2,5,2,4,3,3,2,4,4,5
273,273,4353,Female,National,4,5,5,5,5,4,3,3,3,4,5,4,5,4,5,5,5,5,5
274,274,4371,Male,National,5,5,5,5,5,1,1,1,1,1,1,1,3,1,5,4,5,5,5
275,275,4648,Male,IGCSE (British),1,1,2,2,5,5,5,3,2,4,4,1,3,2,4,5,3,3,4
276,276,4632,Male,IGCSE (British),1,2,3,2,4,3,5,3,2,1,4,5,4,2,3,4,2,4,3
277,277,4664,Female,IGCSE (British),3,5,3,5,5,3,5,5,1,3,5,1,5,5,3,5,5,5,5
278,278,4636,Male,IGCSE (British),4,4,5,5,5,1,1,1,2,3,4,2,1,3,3,2,4,4,3
279,279,4668,Male,IGCSE (British),5,3,5,5,5,2,2,2,1,1,3,1,4,3,4,3,5,5,5
280,280,4295,Male,IGCSE (British),3,5,5,5,5,3,1,1,1,2,4,1,1,3,5,5,5,5,5
281,281,4639,Female,IGCSE (British),5,5,5,5,5,3,5,4,4,4,5,3,5,3,4,3,5,4,5
282,282,4631,Male,IGCSE (British),5,4,5,5,5,1,1,1,1,1,2,1,2,1,4,4,5,4,4
283,283,4650,Female,IGCSE (British),5,5,5,5,5,5,5,3,5,5,5,1,5,3,4,4,5,5,3
284,284,4635,Female,IGCSE (British),4,5,4,5,4,4,4,2,2,3,5,2,4,3,2,2,3,3,3
285,285,4643,Male,IGCSE (British),4,5,3,5,5,3,3,3,4,4,5,1,4,4,2,3,5,5,5
286,286,4659,Female,IGCSE (British),4,4,3,4,5,3,3,2,2,2,1,2,2,2,4,3,4,5,4
287,287,4642,Female,IGCSE (British),5,5,5,5,4,2,1,1,1,2,2,1,3,1,4,4,5,5,5
288,288,4665,Male,IGCSE (British),2,3,5,2,5,1,1,1,3,2,4,1,5,1,4,1,5,4,5
289,289,4657,Female,IGCSE (British),3,3,3,5,5,3,1,1,1,1,1,1,1,1,3,3,3,3,3
290,290,4677,Male,IGCSE (British),2,3,1,5,5,1,1,3,1,1,1,1,4,1,3,2,3,4,3
291,291,4673,Male,IGCSE (British),3,4,3,5,5,3,4,2,2,3,5,4,5,5,4,3,4,5,4
292,292,4672,Female,IGCSE (British),3,4,4,5,5,3,3,3,3,2,3,1,3,2,3,3,4,4,4
293,293,4660,Female,IGCSE (British),5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4
294,294,4678,Female,IGCSE (British),4,3,4,4,5,1,1,1,1,1,1,1,3,1,4,3,5,5,5
295,295,4676,Female,IGCSE (British),4,3,5,4,5,1,2,1,1,1,1,1,1,2,4,3,5,4,5
296,296,4666,Female,IGCSE (British),4,3,4,4,5,1,2,1,1,1,1,1,2,1,4,3,5,5,5
297,297,4646,Female,IGCSE (British),4,4,5,4,5,3,3,2,2,3,5,1,5,4,4,2,3,5,4
298,298,4611,Male,IGCSE (British),3,2,4,5,4,4,4,3,1,1,2,1,1,1,4,4,4,4,4
299,299,4602,Female,IGCSE (British),5,5,5,5,5,4,4,1,1,1,3,1,1,1,4,4,4,4,4
300,300,4626,Male,IGCSE (British),4,5,5,5,5,3,2,2,2,2,4,3,3,1,5,4,4,5,4
301,301,4589,Female,IGCSE (British),4,4,4,5,4,3,3,4,3,3,5,5,4,3,3,3,4,4,5
302,302,4586,Female,IGCSE (British),5,5,5,4,5,3,2,1,2,2,3,1,1,1,4,4,5,5,5
303,303,4581,Female,IGCSE (British),5,5,4,5,5,3,3,2,1,1,1,1,1,1,3,3,5,5,3
304,304,4591,Female,IGCSE (British),2,4,5,5,5,1,1,1,1,3,5,3,5,5,2,1,2,2,2
305,305,4627,Female,IGCSE (British),5,5,5,5,5,2,1,2,1,1,3,1,2,1,3,2,5,5,5
306,306,4623,Male,IGCSE (British),5,5,3,5,5,3,3,5,5,5,5,3,5,3,3,3,4,3,3
307,307,4601,Female,IGCSE (British),3,3,2,5,4,1,1,1,1,1,3,1,1,1,3,3,5,5,5
308,308,4600,Female,IGCSE (British),3,4,2,5,4,1,1,1,1,1,3,3,3,1,4,2,4,4,4
309,309,4608,Female,IGCSE (British),4,5,5,5,4,1,1,1,1,1,3,1,4,1,5,5,5,5,5
310,310,4599,Male,IGCSE (British),4,5,4,5,5,4,4,3,3,2,4,4,5,2,3,3,4,5,5
311,311,4610,Female,IB,5,5,5,5,5,1,5,1,3,1,3,1,1,1,3,2,5,5,5
312,312,4609,Male,IGCSE (British),3,4,4,5,3,5,5,5,5,5,5,5,5,5,4,4,5,4,5
313,313,4607,Female,IGCSE (British),4,5,5,5,5,4,4,3,3,4,3,1,4,1,4,4,5,5,5
314,314,4578,Female,IGCSE (British),5,5,5,5,5,5,3,3,1,1,3,1,3,2,3,2,4,5,5
315,315,4588,Male,IGCSE (British),4,4,4,4,4,2,4,1,1,3,2,2,3,1,4,3,4,5,5
316,316,4617,Female,IGCSE (British),3,4,5,4,4,2,3,2,2,1,2,2,4,2,2,2,3,3,3
317,317,4613,Female,IGCSE (British),1,3,2,5,3,5,2,1,1,1,5,3,5,5,1,3,3,3,2
318,318,4583,Female,IGCSE (British),3,3,3,5,5,1,1,1,1,1,2,1,3,1,2,2,3,3,4
319,319,4585,Male,IGCSE (British),5,5,5,5,5,3,2,2,1,1,3,2,2,1,5,4,5,5,5
320,320,4616,Male,IGCSE (British),4,4,4,4,5,1,1,1,1,1,4,1,5,1,3,4,3,4,5
321,321,4595,Male,IGCSE (British),4,3,4,4,4,4,2,2,2,3,3,4,4,5,4,3,4,4,3
322,322,4619,Male,IGCSE (British),5,5,4,5,5,1,2,2,1,1,3,1,4,1,4,5,5,5,5
323,323,4579,Male,IGCSE (British),5,5,5,5,5,1,1,1,1,1,3,2,5,2,4,4,5,5,5
324,324,4620,Female,Other?,4,4,3,5,5,2,3,3,1,2,5,5,5,2,3,3,4,4,4
325,325,4592,Male,Other?,4,5,5,5,5,5,5,2,3,2,5,5,5,5,5,4,5,5,5
326,326,4598,Female,IGCSE (British),3,4,4,5,5,3,2,3,2,2,5,3,5,4,4,4,5,5,5
327,327,4663,Female,IGCSE (British),5,3,3,5,5,3,2,1,1,1,3,2,3,2,3,2,3,4,3
328,328,4670,Female,IGCSE (British),4,2,3,5,5,3,3,4,2,2,4,2,5,4,3,3,3,3,3
329,329,4652,Male,IGCSE (British),5,5,4,5,5,2,2,1,1,1,2,1,3,2,4,4,4,5,5
330,330,4419,Male,IGCSE (British),5,5,5,5,5,1,1,1,1,1,5,1,5,5,5,3,5,5,5
331,331,4653,Male,IGCSE (British),3,5,3,5,5,3,3,3,3,3,5,1,5,3,5,5,5,3,3
332,332,4669,Male,IGCSE (British),5,4,4,5,5,3,2,2,1,1,3,2,3,4,4,3,5,4,4
333,333,4389,Female,IGCSE (British),3,3,4,4,5,4,5,5,3,3,1,1,4,2,3,2,4,4,2
334,334,4667,Female,IGCSE (British),5,5,5,5,5,3,2,2,1,2,3,2,2,2,5,3,5,5,5
335,335,4541,Male,IGCSE (British),3,5,3,5,5,1,3,1,3,2,3,1,5,2,3,4,5,5,5
336,336,4686,Male,IGCSE (British),5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5
337,337,4542,Female,IGCSE (British),3,4,4,5,5,5,4,5,5,4,5,4,4,4,3,4,4,5,5
338,338,4645,Male,IGCSE (British),5,4,5,5,5,5,3,2,3,3,4,3,4,5,4,4,5,4,5
339,339,4656,Female,IGCSE (British),5,4,4,5,5,3,3,2,1,1,2,1,2,1,3,2,4,3,5
340,340,4395,Male,IGCSE (British),5,5,4,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5
341,341,4681,Male,IGCSE (British),4,3,3,5,5,5,5,5,4,3,5,5,4,3,3,1,1,3,1
342,342,4414,Female,IGCSE (British),5,5,4,5,5,3,2,2,1,2,3,2,3,2,3,2,3,2,3
343,343,4508,Male,IGCSE (British),5,3,3,2,5,4,2,2,2,4,2,2,4,2,5,4,5,4,5
344,344,4464,Male,IGCSE (British),5,4,3,3,4,4,3,5,3,4,5,3,5,4,2,2,3,4,5
345,345,4683,Male,IGCSE (British),5,5,5,5,5,1,5,1,1,1,1,1,1,1,5,5,5,5,5
346,346,4539,Female,IGCSE (British),5,5,5,5,5,2,2,1,1,1,4,1,4,3,5,3,5,4,5
347,347,4653,Female,IGCSE (British),3,3,3,4,4,4,4,3,2,3,2,1,1,2,1,1,4,3,3
348,348,4657,Female,IGCSE (British),4,4,3,5,5,2,2,1,2,3,4,3,1,1,4,2,4,5,4
349,349,4506,Female,IGCSE (British),5,5,4,5,5,4,3,1,1,1,3,2,3,2,4,3,3,3,3
350,350,4668,Male,IGCSE (British),4,3,4,5,4,5,3,2,2,3,5,5,5,1,3,3,4,4,5
351,351,4684,Female,IGCSE (British),4,5,3,5,3,4,2,1,1,3,4,3,5,2,2,4,4,5,5
352,352,4637,Female,IGCSE (British),3,4,4,5,5,3,3,1,1,3,2,2,1,1,2,2,3,4,3
353,353,4311,Male,IGCSE (British),5,5,5,5,5,3,3,3,1,1,5,3,5,5,5,5,5,3,5
354,354,4297,Male,Other?,3,3,4,5,5,3,3,2,2,2,5,3,5,5,4,3,3,4,4
355,355,4707,Female,American Diploma,5,5,4,5,2,1,1,1,1,1,2,1,2,2,4,3,5,5,3
356,356,4698,Female,American Diploma,4,5,5,4,5,5,3,5,3,2,4,4,5,4,5,5,5,5,5
357,357,4703,Female,American Diploma,4,1,3,5,5,1,2,1,1,1,3,1,1,1,2,1,5,5,5
358,358,4712,Female,American Diploma,5,5,5,5,5,3,3,1,1,1,1,1,1,1,3,3,5,3,5
359,359,4702,Female,American Diploma,3,2,3,4,4,4,3,3,4,3,4,3,4,4,2,1,3,3,3
360,360,4691,Female,American Diploma,3,5,3,4,4,4,3,5,5,2,4,1,5,4,5,4,5,5,5
361,361,4693,Female,American Diploma,5,3,3,5,5,2,1,2,2,1,3,1,2,3,5,4,4,4,5
362,362,4704,Female,American Diploma,3,4,4,4,5,5,5,4,4,5,5,4,5,5,5,4,5,3,5
363,363,4736,Female,American Diploma,3,5,3,5,5,1,3,1,1,4,5,3,5,5,3,3,5,3,5
364,364,4771,Female,American Diploma,5,5,5,5,5,1,3,1,1,1,1,1,3,5,3,5,5,5,5
365,365,4697,Female,American Diploma,2,2,3,4,5,3,3,1,1,1,4,2,4,1,3,2,5,2,5
366,366,4717,Female,American Diploma,5,5,5,5,5,1,1,1,1,1,1,1,1,1,4,4,5,5,5
367,367,4723,Female,American Diploma,5,5,5,5,5,3,3,3,2,2,3,2,3,2,4,4,5,5,5
368,368,4726,Female,American Diploma,4,2,1,3,2,5,4,4,5,4,5,4,4,4,3,1,4,3,4
369,369,4714,Female,American Diploma,4,5,5,4,5,2,2,2,2,2,3,3,3,2,4,3,4,4,4
370,370,4716,Female,American Diploma,5,5,5,5,5,5,5,3,3,3,5,5,3,3,3,3,5,5,5
371,371,4718,Female,American Diploma,5,3,3,5,5,1,1,1,1,1,3,1,3,1,3,3,3,5,5
372,372,4730,Female,American Diploma,4,5,5,5,5,3,4,4,1,1,3,3,4,4,5,5,5,5,5
373,373,4725,Female,American Diploma,5,5,4,5,5,1,1,1,1,1,3,1,4,1,5,4,5,5,5
374,374,4720,Female,American Diploma,5,5,5,5,5,2,1,3,1,1,4,3,5,3,5,3,5,5,5
375,375,4728,Female,American Diploma,5,4,5,5,4,3,3,3,1,2,4,3,3,2,4,5,5,5,5
376,376,4606,Female,American Diploma,4,3,5,5,5,4,4,4,4,4,5,5,5,5,4,5,5,5,5
377,377,4733,Female,American Diploma,3,3,4,5,4,1,1,3,1,1,3,1,1,1,3,3,5,5,5
378,378,4731,Female,American Diploma,5,5,5,3,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5
379,379,4727,Female,IB,5,5,4,5,5,4,4,4,4,5,5,4,4,4,5,4,4,4,4
380,380,4729,Female,American Diploma,3,3,4,5,5,2,2,1,1,2,5,1,4,5,5,5,5,5,5
381,381,4722,Female,IB,5,5,5,1,5,4,5,5,5,5,5,4,5,3,5,5,5,5,5
382,382,4753,Male,American Diploma,5,4,5,5,5,3,3,3,4,4,5,4,5,4,4,5,5,5,5
383,383,4604,Male,American Diploma,3,3,3,3,3,3,3,3,3,3,3,5,5,5,3,2,3,2,3
384,384,4737,Male,American Diploma,4,3,5,3,4,3,3,1,3,2,4,3,2,3,4,2,3,4,4
385,385,4746,Male,American Diploma,5,3,5,5,5,5,1,1,1,1,5,5,3,5,3,5,5,5,5
386,386,4763,Male,American Diploma,4,4,3,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5
387,387,4759,Male,American Diploma,5,5,5,5,4,3,3,4,2,3,4,3,3,4,4,4,5,5,4
388,388,4766,Male,American Diploma,5,4,4,5,4,4,2,3,1,2,4,2,3,2,4,4,5,5,5
389,389,4768,Male,American Diploma,3,3,5,5,5,1,1,1,1,1,1,5,5,2,5,5,5,5,5
390,390,4762,Male,American Diploma,3,3,5,5,5,5,3,3,3,1,5,3,3,3,3,5,5,3,5
391,391,4764,Male,American Diploma,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4
392,392,4758,Male,IB,4,3,5,5,5,1,1,2,1,1,5,1,4,5,3,4,5,5,5
393,393,4769,Male,American Diploma,5,5,5,5,5,3,5,5,5,5,5,3,3,3,5,5,5,5,5
394,394,4754,Male,American Diploma,5,5,5,4,5,5,3,5,1,1,5,5,5,5,4,5,5,5,5
395,395,4761,Male,American Diploma,4,5,5,5,5,3,1,1,3,2,5,3,1,2,4,5,5,5,5
396,396,4756,Male,American Diploma,5,3,5,5,4,3,2,1,2,3,4,3,3,1,3,3,5,5,5
397,397,4755,Male,American Diploma,5,3,4,5,5,1,2,2,3,1,5,2,5,5,2,1,5,5,3
398,398,4710,Female,American Diploma,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
399,399,4746,Male,National,1,5,5,5,3,3,3,4,3,3,4,4,4,3,4,4,4,4,4
400,400,4739,Male,National,3,5,5,3,5,3,3,3,3,3,3,3,3,3,3,1,3,3,3
401,401,4754,Male,Other?,1,2,,,,,,,,,,,,,,,,,
402,402,4755,Male,National,3,5,1,3,1,5,3,3,5,1,3,5,1,3,3,5,1,3,5
403,403,4742,Male,National,5,5,1,4,5,1,3,5,3,1,3,5,3,1,1,3,5,3,1
404,404,4750,Male,National,1,1,1,3,1,1,5,3,3,3,5,1,3,4,5,5,3,4,3
405,405,4754,Male,National,3,3,4,4,4,3,3,5,4,2,4,3,3,3,3,2,3,3,3
406,406,4748,Male,National,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
407,407,4753,Male,National,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,5
408,408,4743,Female,National,5,3,1,3,4,5,4,3,4,5,5,3,2,3,3,2,5,1,5
409,409,4760,Female,National,5,4,4,5,5,5,4,4,5,5,5,5,5,5,3,4,5,5,5
410,410,4760,Female,National,4,5,5,5,5,4,5,4,5,4,5,3,5,5,4,5,5,4,4
411,411,4767,Male,IB,2,1,3,4,3,1,1,1,1,1,3,3,3,2,4,3,2,3,3
412,412,4778,Female,IB,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5
413,413,4777,Male,IB,5,5,3,5,5,1,1,1,2,2,1,1,1,2,5,5,5,5,5
414,414,4763,Female,IB,4,3,5,5,4,2,1,1,1,1,2,1,3,4,3,3,4,3,2
415,415,4768,Male,IB,4,5,4,5,5,3,3,3,2,2,4,3,4,3,4,3,5,5,5
416,416,4773,Male,IB,5,5,5,5,5,4,5,5,5,5,5,3,5,3,4,4,5,5,5
417,417,4765,Female,IB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
418,418,4763,Female,IB,3,5,3,4,3,3,2,2,2,4,4,5,5,3,2,2,3,2,3
419,419,4770,Female,IB,5,4,5,5,5,3,2,2,1,3,2,1,2,3,5,5,4,5,4
420,420,4775,Female,IB,5,5,5,5,5,3,1,1,1,1,3,3,1,1,4,3,5,5,4
421,421,4769,Male,IB,5,5,4,5,5,5,5,3,4,3,5,1,4,4,4,4,5,4,4
422,422,4771,Female,IB,5,4,5,5,5,5,5,5,5,5,4,1,5,5,2,1,3,3,2
423,423,4740,Male,National,5,5,5,5,5,5,5,3,3,3,5,5,5,5,3,3,3,3,5
424,424,4824,Male,IB,2,3,5,5,4,2,3,3,,2,4,4,3,4,4,3,5,5,5
425,425,4816,Male,IB,4,4,4,4,4,4,4,5,5,5,5,5,5,5,3,3,3,3,3
426,426,4820,Male,IB,5,5,3,4,3,2,5,3,2,2,3,2,2,3,3,3,4,4,5
427,427,4817,Male,IB,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5
428,428,4824,Male,IB,4,5,5,5,3,5,5,4,3,3,5,5,5,5,4,4,4,5,4
429,429,4815,Male,IB,5,5,5,5,5,3,2,4,4,4,5,4,5,5,5,5,5,5,5
430,430,4825,Male,IB,5,5,5,5,5,1,1,1,1,1,4,1,5,3,4,4,4,4,4
431,431,4819,Male,IB,5,5,4,5,5,4,3,3,4,3,5,2,5,5,5,5,4,5,5
432,432,4822,Female,IB,5,5,5,5,5,3,3,1,1,3,4,3,3,3,4,4,5,4,5
433,433,4821,Female,IB,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,3,4,5,5
434,434,4818,Male,IB,5,5,5,5,5,3,3,2,4,5,5,1,4,2,4,4,5,5,5
435,435,4781,Male,IB,3,3,4,4,3,1,1,1,1,1,2,2,1,1,4,3,5,4,5
436,436,4789,Male,IB,5,5,5,5,5,4,1,3,3,3,5,1,5,3,4,4,5,5,4
437,437,4782,Female,IB,4,4,3,3,5,3,3,2,3,3,3,1,3,3,4,3,5,5,4
438,438,4786,Male,IB,5,4,3,5,5,4,4,2,3,3,3,3,4,3,3,2,3,4,4
439,439,4783,Male,IB,4,3,3,2,3,1,4,1,1,1,5,2,4,5,4,2,5,5,5
440,440,4787,Female,IB,3,3,3,5,4,2,2,1,1,1,3,2,3,2,2,2,3,3,3
441,441,4785,Male,IB,5,5,5,5,5,1,1,1,1,1,5,1,1,1,3,3,5,5,5
442,442,4780,Female,IB,3,4,3,5,4,1,2,1,1,1,2,1,2,1,3,3,4,4,5
443,443,4788,Male,IB,5,5,5,5,5,1,1,1,1,1,1,5,1,1,5,5,5,5,4
444,444,4784,Male,IB,3,4,2,5,5,2,1,1,1,1,3,2,4,2,2,1,4,5,4
445,445,4779,Male,IB,5,5,4,5,5,2,3,5,1,2,1,3,5,1,5,5,4,5,3
446,446,4756,Male,National,1,5,1,2,5,1,5,5,3,1,5,5,5,1,1,3,5,1,1
447,447,4795,Male,IB,4,3,2,3,4,1,1,2,1,1,4,4,4,1,3,2,4,4,4
448,448,4805,Male,IB,3,3,3,4,3,1,1,1,1,1,4,2,1,1,2,2,1,3,2
449,449,4799,Male,IB,2,3,3,4,2,5,4,2,3,3,3,4,2,3,1,5,2,2,3
450,450,4796,Female,IB,4,5,5,5,5,4,5,3,3,3,4,3,4,3,3,4,4,4,3
451,451,4791,Male,IB,,,,,,,,,,,,,,,,,,,
452,452,4808,Male,IB,3,4,4,4,3,3,2,1,2,2,3,1,2,2,3,3,2,3,3
453,453,4806,Male,IB,4,3,4,4,4,2,3,1,1,1,3,1,1,1,3,2,4,3,3
454,454,4793,Female,IB,3,3,5,4,5,5,1,1,3,2,4,4,1,1,1,1,5,5,3
455,455,4809,Male,IB,4,5,3,5,3,1,1,1,1,1,3,2,4,2,3,4,4,3,3
456,456,4807,Male,IB,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,5,4,4,5
457,457,4800,Male,IB,4,5,5,5,5,1,1,1,1,1,3,4,5,5,4,4,4,5,5
458,458,4812,Female,IB,3,4,3,4,4,3,3,2,2,2,3,3,3,3,3,3,3,4,3
459,459,4810,Female,IB,3,5,4,5,4,5,4,1,2,3,4,3,5,3,4,3,5,4,5
460,460,4803,Female,IB,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,3,3,3
461,461,4802,Female,IB,5,3,2,5,2,1,1,1,1,1,1,1,1,1,3,4,2,3,3
462,462,4813,Male,IB,3,2,4,5,5,3,5,3,2,2,3,4,5,1,4,3,5,5,5
463,463,4801,Female,IB,5,5,5,5,5,2,1,1,1,1,4,1,4,1,3,2,4,5,4
464,464,4836,Male,IB,5,4,3,5,5,2,2,2,2,2,4,2,1,2,5,5,4,5,4
465,465,4832,Female,IB,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,3,4,4
466,466,4838,Male,IB,3,2,4,4,4,2,1,2,2,2,5,1,2,2,3,2,3,3,3
467,467,4833,Male,IB,3,5,3,5,5,3,3,3,1,1,5,1,5,3,3,3,3,3,3
468,468,4828,Male,IB,3,3,3,4,5,3,3,1,1,1,3,1,2,3,3,3,3,3,3
469,469,4831,Female,IB,5,4,4,5,5,2,1,1,1,1,1,1,1,1,5,4,5,5,5
470,470,4834,Male,IB,4,5,3,4,4,3,2,3,3,3,3,1,4,3,3,3,4,5,5
471,471,4835,Female,IB,3,3,2,4,4,2,2,2,2,1,2,1,2,1,3,3,4,4,4
472,472,4826,Male,IB,5,5,5,5,5,1,3,1,1,1,3,1,5,1,4,4,5,5,5
473,473,4827,Male,IB,3,2,2,5,4,3,2,2,2,3,4,3,4,2,2,2,4,3,3
474,474,4829,Female,IB,3,5,4,5,5,1,1,1,1,1,1,1,1,1,4,3,5,5,4
475,475,4837,Male,IB,3,3,3,4,3,2,1,3,4,4,3,1,4,3,4,3,5,5,5
476,476,4830,Male,IB,2,2,2,1,1,2,3,3,4,4,1,2,2,2,2,2,2,2,3
477,477,4846,Male,IB,4,3,4,5,5,1,1,1,1,1,4,1,3,2,5,5,5,5,5
478,478,4847,Male,IB,3,4,5,4,5,5,5,3,5,5,5,5,5,3,5,4,5,5,5
479,479,4855,Male,IB,3,5,1,5,4,1,4,3,1,1,1,1,1,1,4,3,4,5,3
480,480,4850,Male,IB,2,3,2,4,5,2,1,2,2,1,3,2,4,3,2,2,3,3,3
481,481,4581,Male,IB,5,4,3,2,2,1,1,1,1,1,1,1,1,1,3,4,4,5,4
482,482,4849,Male,IB,3,5,3,5,5,3,4,2,1,1,3,3,4,3,3,2,5,5,5
483,483,4845,Female,IB,4,4,4,4,5,3,2,2,3,3,5,2,5,5,4,4,3,5,5
484,484,4848,Female,IB,4,5,4,5,5,4,4,4,4,5,5,3,5,5,5,5,5,5,5
485,485,4839,Female,IB,2,1,3,4,2,3,4,2,1,3,5,3,4,5,2,3,4,3,2
486,486,4857,Female,IB,5,4,5,5,5,3,5,3,3,3,4,3,4,1,4,4,5,5,4
487,487,4856,Male,IB,2,3,4,3,2,3,3,2,1,1,3,2,2,4,3,2,4,3,3
488,488,4842,Male,IB,5,3,5,5,5,1,1,1,1,4,3,3,5,1,5,3,4,5,4
489,489,4852,Female,IB,3,5,4,3,1,1,1,1,1,1,3,1,5,4,2,3,3,2,3
490,490,4752,Male,Other?,5,5,5,5,3,5,3,5,3,3,5,3,5,3,3,3,2,3,3
491,491,4859,Male,IB,3,2,1,5,2,1,1,1,1,1,5,1,1,1,5,5,5,5,5
492,492,4871,Female,IB,4,5,3,5,5,5,5,5,5,5,5,5,5,4,4,2,4,5,5
493,493,4873,Male,IB,5,5,3,3,5,1,1,1,1,1,1,1,2,3,3,1,3,5,2
494,494,4858,Male,IB,5,3,3,5,5,4,5,1,3,1,5,3,5,4,3,4,5,,5
495,495,4874,Male,IB,4,5,5,3,3,3,2,3,2,3,4,1,4,2,4,4,4,4,3
496,496,4863,Female,IB,4,5,5,4,4,1,1,1,1,1,1,1,1,1,4,3,4,5,5
497,497,4864,Female,IB,3,5,5,5,5,1,1,1,1,1,1,1,1,1,3,3,5,5,5
498,498,4860,Male,IB,4,5,4,4,5,3,3,3,2,2,3,2,4,4,4,3,5,4,4
499,499,4866,Male,IB,3,4,4,5,5,3,1,2,1,1,3,1,1,2,3,4,4,3,4
500,500,4869,Male,IB,5,3,5,5,4,2,1,1,2,3,3,1,1,3,4,4,5,5,5
501,501,4862,Female,IB,3,3,5,5,4,1,1,1,1,1,1,1,2,1,4,5,5,5,5
502,502,4870,Male,IB,4,4,3,5,3,5,4,3,4,4,5,2,1,5,3,4,5,4,3
503,503,4868,Female,IB,5,5,5,5,5,1,1,1,1,1,3,1,2,1,4,3,4,4,5
504,504,4861,Female,IB,4,5,4,5,5,2,2,2,2,2,4,3,4,4,3,3,4,3,3
505,505,4892,Male,IGCSE (British),3,5,3,5,5,1,1,1,1,5,3,1,4,1,3,2,4,5,5
506,506,4891,Male,IGCSE (British),5,3,4,3,5,4,2,1,1,3,4,2,3,1,3,4,5,4,4
507,507,4899,Female,IGCSE (British),3,4,5,5,5,2,2,1,1,1,2,1,2,1,4,4,4,4,5
508,508,4898,Female,IGCSE (British),3,3,1,5,3,3,1,3,3,1,5,3,1,1,1,1,3,5,5
509,509,4879,Female,IGCSE (British),5,5,3,5,5,3,1,1,2,1,3,4,5,5,2,3,5,5,5
510,510,4883,Female,IB,3,4,2,5,4,3,1,1,1,3,3,2,4,2,3,3,4,4,4
511,511,4919,Female,IGCSE (British),3,3,2,4,3,4,2,4,3,3,4,4,5,5,3,3,3,4,4
